Date,Description,Amount,Type,Balance,Reference
2024-01-01,Opening Balance,50000,CREDIT,50000,OB001
2024-01-02,Salary Credit - XYZ Corp,75000,CREDIT,125000,SAL001
2024-01-03,ATM Withdrawal,5000,DEBIT,120000,ATM001
2024-01-05,Online Transfer to John Doe,15000,DEBIT,105000,TXN001
2024-01-07,Utility Bill - Electricity,3500,DEBIT,101500,UTIL001
2024-01-10,Grocery Shopping - Walmart,8000,DEBIT,93500,POS001
2024-01-12,Rental Income,25000,CREDIT,118500,RENT001
2024-01-15,EMI - Home Loan,35000,DEBIT,83500,EMI001
2024-01-18,Online Purchase - Amazon,2500,DEBIT,81000,ECOM001
2024-01-20,Insurance Premium,12000,DEBIT,69000,INS001pr
2024-01-22,Freelance Payment,18000,CREDIT,87000,FREE001
2024-01-25,ATM Withdrawal,3000,DEBIT,84000,ATM002
2024-01-28,Dividend Income,5000,CREDIT,89000,DIV001
2024-01-30,Credit Card Payment,22000,DEBIT,67000,CC001
2024-02-01,Salary Credit - XYZ Corp,75000,CREDIT,142000,SAL002
2024-02-03,Medical Expenses,8500,DEBIT,133500,MED001
2024-02-05,Investment SIP,10000,DEBIT,123500,SIP001
2024-02-08,Refund - Online Purchase,1200,CREDIT,124700,REF001
2024-02-10,Restaurant Bill,4500,DEBIT,120200,REST001
2024-02-12,Mutual Fund Investment,15000,DEBIT,105200,MF001
2024-02-15,EMI - Home Loan,35000,DEBIT,70200,EMI002
2024-02-18,Bonus Payment,25000,CREDIT,95200,BON001
2024-02-20,Car Maintenance,7500,DEBIT,87700,CAR001
2024-02-22,Online Transfer to Jane Smith,8000,DEBIT,79700,TXN002
2024-02-25,Subscription - Netflix,800,DEBIT,78900,SUB001
2024-02-28,Interest Credit,1500,CREDIT,80400,INT001
